Keypt1,Keypt2,Mat,Secnum,Lesize,ElementType
1,2,2,5,3,1
2,24,2,5,3,1
24,27,2,5,3,1
27,3,2,5,3,1
3,4,2,5,3,1
4,1,2,5,3,1
1,5,1,2,10,1
6,7,1,2,10,1
8,2,1,2,10,1
9,10,1,2,10,1
4,11,1,2,10,1
12,13,1,2,10,1
14,3,1,2,10,1
15,16,1,2,10,1
5,6,1,1,5,1
8,9,1,1,5,1
11,12,1,1,5,1
14,15,1,1,5,1
13,16,1,4,10,1
13,34,1,4,10,1
16,35,1,4,10,1
17,18,2,2,3,1
18,19,2,2,3,1
19,20,2,2,3,1
20,21,2,2,3,1
21,17,2,2,3,1
18,22,1,2,20,1
23,24,1,2,20,1
19,25,1,2,20,1
26,27,1,2,20,1
21,28,1,2,20,1
29,30,1,2,20,1
20,31,1,2,20,1
32,33,1,2,20,1
22,23,1,3,5,1
25,26,1,3,5,1
28,29,1,3,5,1
31,32,1,3,5,1
36,37,2,5,3,1
36,38,2,5,3,1
36,39,2,5,3,1
36,40,1,2,10,1
40,41,1,4,5,1
41,42,1,4,5,1
42,43,1,2,10,1
37,44,1,2,10,1
44,45,1,4,5,1
45,46,1,2,10,1
36,47,1,2,10,1
47,48,1,4,5,1
48,49,1,2,10,1
37,50,1,2,10,1
50,51,1,4,5,1
51,52,1,2,10,1
17,36,3,6,10,2
21,91,3,6,10,2
18,-14,3,6,10,2
