# d0, -force_residuals[:,0]
0.0000e+00 -3.3482e-09
3.1755e-04 1.8250e+00
6.3627e-04 3.1555e+00
9.5614e-04 4.0713e+00
1.2771e-03 4.6432e+00
1.5992e-03 4.9336e+00
1.9224e-03 4.9968e+00
2.2466e-03 4.8806e+00
2.5719e-03 4.6263e+00
2.8982e-03 4.2696e+00
3.2254e-03 3.8408e+00
3.5537e-03 3.3660e+00
3.8828e-03 2.8669e+00
4.2129e-03 2.3615e+00
4.5439e-03 1.8644e+00
4.8757e-03 1.3875e+00
5.2084e-03 9.3989e-01
5.5419e-03 5.2843e-01
5.8762e-03 1.5795e-01
6.2113e-03 -1.6844e-01
6.5471e-03 -4.4915e-01
6.8837e-03 -6.8384e-01
7.2210e-03 -8.7327e-01
7.5589e-03 -1.0191e+00
7.8975e-03 -1.1235e+00
8.2367e-03 -1.1896e+00
8.5765e-03 -1.2206e+00
8.9169e-03 -1.2201e+00
9.2579e-03 -1.1918e+00
9.5993e-03 -1.1397e+00
9.9413e-03 -1.0675e+00
1.0284e-02 -9.7893e-01
1.0627e-02 -8.7763e-01
1.0970e-02 -7.6694e-01
1.1314e-02 -6.4994e-01
1.1658e-02 -5.2945e-01
1.2003e-02 -4.0792e-01
1.2347e-02 -2.8749e-01
1.2693e-02 -1.6992e-01
1.3038e-02 -5.6625e-02
1.3384e-02 5.1354e-02
1.3730e-02 1.5332e-01
1.4076e-02 2.4891e-01
1.4422e-02 3.3807e-01
1.4769e-02 4.2104e-01
1.5115e-02 4.9833e-01
1.5462e-02 5.7065e-01
1.5809e-02 6.3893e-01
1.6156e-02 7.0423e-01
1.6503e-02 7.6771e-01
1.6850e-02 8.3063e-01
1.7197e-02 8.9422e-01
1.7544e-02 9.5975e-01
1.7890e-02 1.0284e+00
1.8237e-02 1.1012e+00
1.8584e-02 1.1790e+00
1.8930e-02 1.2627e+00
1.9277e-02 1.3526e+00
1.9623e-02 1.4491e+00
1.9969e-02 1.5521e+00
2.0314e-02 1.6613e+00
2.0660e-02 1.7758e+00
2.1005e-02 1.8948e+00
2.1350e-02 2.0167e+00
2.1694e-02 2.1399e+00
2.2039e-02 2.2621e+00
2.2382e-02 2.3810e+00
2.2726e-02 2.4936e+00
2.3069e-02 2.5970e+00
2.3411e-02 2.6878e+00
2.3753e-02 2.7624e+00
2.4095e-02 2.8170e+00
2.4436e-02 2.8478e+00
2.4776e-02 2.8511e+00
2.5116e-02 2.8229e+00
2.5455e-02 2.7598e+00
2.5794e-02 2.6584e+00
2.6131e-02 2.5159e+00
2.6469e-02 2.3298e+00
2.6805e-02 2.0986e+00
2.7141e-02 1.8215e+00
2.7476e-02 1.4989e+00
2.7810e-02 1.1323e+00
2.8144e-02 7.2488e-01
2.8477e-02 2.8144e-01
2.8809e-02 -1.9115e-01
2.9139e-02 -6.8374e-01
2.9470e-02 -1.1846e+00
2.9799e-02 -1.6790e+00
3.0127e-02 -2.1489e+00
3.0454e-02 -2.5725e+00
3.0781e-02 -2.9241e+00
3.1106e-02 -3.1730e+00
3.1430e-02 -3.2837e+00
3.1753e-02 -3.2148e+00
3.2075e-02 -2.9187e+00
3.2396e-02 -2.3407e+00
3.2716e-02 -1.4187e+00
3.3035e-02 -8.1969e-02
3.3352e-02 1.7496e+00
