
Study name:Nonlinear 2
Plot type: Reaction force
16:08, Monday, May 15, 2023


X Title: Time (sec)
Y Title: Reaction force(N)

Point, X, Y1 (Sum X:(Selection)), Y2 (Sum X:(Entire Model))
1, 0.01        ,7.5006      ,-2.7418E-06 ,
2, 0.03        ,28.547      ,-1.0014E-05 ,
3, 0.05        ,42.282      ,-2.861E-06  ,
4, 0.07        ,49.17       ,1.9073E-06  ,
5, 0.09        ,50.486      ,-1.5259E-05 ,
6, 0.11        ,47.604      ,5.722E-06   ,
7, 0.13        ,41.839      ,9.5367E-06  ,
8, 0.15        ,34.433      ,1.9073E-05  ,
9, 0.17        ,26.493      ,-7.6294E-06 ,
10, 0.19        ,18.936      ,7.6294E-06  ,
11, 0.21        ,12.417      ,2.6703E-05  ,
12, 0.23        ,7.3036      ,1.9073E-06  ,
13, 0.25        ,3.6893      ,2.861E-05   ,
14, 0.27        ,1.4642      ,2.2888E-05  ,
15, 0.29        ,0.40234     ,-0.0020065  ,
16, 0.31        ,0.22342     ,2.861E-05   ,
17, 0.33        ,0.65132     ,-1.9073E-06 ,
18, 0.35        ,1.4403      ,-0.00099373 ,
19, 0.37        ,2.3972      ,-2.6703E-05 ,
20, 0.39        ,3.3751      ,-0.00052261 ,
21, 0.41        ,4.282       ,-0.00043106 ,
22, 0.43        ,5.0668      ,-0.00025558 ,
23, 0.45        ,5.7157      ,3.8147E-06  ,
24, 0.47        ,6.2437      ,-3.8147E-06 ,
25, 0.49        ,6.6861      ,0,
26, 0.51        ,7.0919      ,-1.9073E-05 ,
27, 0.53        ,7.5149      ,2.2888E-05  ,
28, 0.55        ,8.007       ,-7.6294E-06 ,
29, 0.57        ,8.6094      ,6.485E-05   ,
30, 0.59        ,9.3464      ,0.0001812   ,
31, 0.61        ,10.216      ,0.0002327   ,
32, 0.63        ,11.184      ,0.00033569  ,
33, 0.65        ,12.174      ,0.00039482  ,
34, 0.67        ,13.063      ,0.00054359  ,
35, 0.69        ,13.676      ,0.00068283  ,
36, 0.71        ,13.783      ,0.00092697  ,
37, 0.73        ,13.104      ,0.0011902   ,
38, 0.75        ,11.324      ,1.7166E-05  ,
39, 0.77        ,8.1409      ,0.0022106   ,
40, 0.79        ,3.3493      ,0.0020733   ,
41, 0.81        ,-3.0132     ,-8.2016E-05 ,
42, 0.83        ,-10.578     ,-6.8665E-05 ,
43, 0.85        ,-18.602     ,-6.6757E-05 ,
44, 0.87        ,-26.089     ,2.6703E-05  ,
45, 0.89        ,-31.924     ,1.1444E-05  ,
46, 0.91        ,-34.943     ,-0.000947   ,
47, 0.93        ,-34.031     ,9.5367E-07  ,
48, 0.95        ,-28.185     ,8.6784E-05  ,
49, 0.97        ,-16.509     ,-4.7684E-07 ,
50, 0.99        ,0.96074     ,-9.5367E-07 ,
51, 1,10.448      ,-3.5763E-07 ,
